,# Title,## Executive Summary,## Molecular Mechanisms of Action,## Clinical Landscape: Hemoglobinopathies,"## The ""Ex Vivo"" Protocol & Technical Challenges",## Future Horizons: In Vivo Delivery,## Commercial & Ethical Analysis,## Key Terminology,## References
chatgpt_deepresearch relevance,95,95,97,95,95,92,90,95,95
chatgpt_deepresearch continuity,100,93,95,90,88,88,85,85,90
chatgpt_deepresearch non_repetitiveness,100,97,98,70,78,95,95,70,98
chatgpt_deepresearch specificity,92,90,90,85,92,85,85,90,70
manus_ai relevance,95,95,95,85,95,88,90,95,92
manus_ai continuity,100,90,88,90,90,90,85,90,88
manus_ai non_repetitiveness,100,95,93,95,90,92,95,80,96
manus_ai specificity,90,90,90,90,88,85,80,92,72
discourse2draft relevance,90,60,95,90,92,93,85,,90
discourse2draft continuity,95,80,70,85,87,87,80,,85
discourse2draft non_repetitiveness,100,95,90,80,82,82,60,,95
discourse2draft specificity,85,80,85,75,90,80,75,,60
