,# Title,## Abstract:,## Introduction & Chemical Background:,## Exposure Pathways & Toxicokinetics:,## System-Specific Health Impacts (The Core Analysis):,## Mechanisms of Action:,"## The ""GenX"" Problem:",## Regulatory Context & Knowledge Gaps:,## Conclusion:,## References
chatgpt_deepresearch relevance,95,96,95,95,95,95,96,95,95,95
chatgpt_deepresearch continuity,100,95,90,92,90,90,90,90,90,90
chatgpt_deepresearch non_repetitiveness,100,99,85,85,80,85,94,85,85,95
chatgpt_deepresearch specificity,90,87,92,90,88,88,88,90,90,80
manus_ai relevance,90,95,95,95,92,90,90,90,92,90
manus_ai continuity,95,98,90,90,87,85,85,88,88,85
manus_ai non_repetitiveness,100,100,85,95,80,75,80,92,82,60
manus_ai specificity,90,90,92,90,88,88,78,85,90,55
discourse2draft relevance,85,95,90,95,90,92,90,92,90,95
discourse2draft continuity,95,100,85,90,85,90,85,90,88,90
discourse2draft non_repetitiveness,100,100,95,96,80,70,90,86,80,95
discourse2draft specificity,80,90,90,85,75,88,65,91,85,60
