,# Title,## **1. Executive Summary**,## **2. Classification and Exposure Assessment**,## **3. Toxicokinetics (ADME)**,## **4. Molecular Mechanisms of Action**,## **5. Organ-Specific Toxicity (Evidence Review)**,## **6. Vulnerable Populations**,## **7. Regulatory Landscape & Tolerable Limits**,## **8. Emerging Science & Alternatives**,## **9. Conclusion & Future Directions**,## References
chatgpt_deepresearch relevance,85,92,95,92,90,90,85,85,82,80,
chatgpt_deepresearch continuity,95,97,90,88,88,88,80,90,70,85,
chatgpt_deepresearch non_repetitiveness,95,100,88,86,85,85,75,92,92,90,
chatgpt_deepresearch specificity,70,90,92,90,90,80,85,80,74,75,
manus_ai relevance,90,90,93,95,90,85,90,90,85,90,95
manus_ai continuity,95,95,88,90,85,82,85,85,80,88,90
manus_ai non_repetitiveness,98,95,92,85,80,78,80,95,95,92,80
manus_ai specificity,90,90,89,92,88,86,88,70,85,85,88
discourse2draft relevance,90,75,90,90,95,90,90,90,92,90,60
discourse2draft continuity,100,90,85,85,90,85,85,85,87,85,50
discourse2draft non_repetitiveness,100,20,95,95,90,80,90,95,91,80,90
discourse2draft specificity,80,60,88,88,85,78,80,85,80,85,40
