,# Title,## Executive Summary,## Molecular Mechanisms of Action,## Clinical Landscape: Hemoglobinopathies,"## The ""Ex Vivo"" Protocol & Technical Challenges",## Future Horizons: In Vivo Delivery,## Commercial & Ethical Analysis,## Key Terminology,## References
chatgpt_deepresearch relevance,100,100,100,100,100,100,100,100,100
chatgpt_deepresearch continuity,100,100,100,100,100,100,100,100,100
chatgpt_deepresearch non_repetitiveness,100,100,90,85,85,100,95,100,100
chatgpt_deepresearch specificity,100,100,100,95,95,95,95,100,100
manus_ai relevance,100,100,100,85,100,100,100,100,100
manus_ai continuity,100,100,100,100,100,100,100,100,100
manus_ai non_repetitiveness,100,100,100,100,100,100,100,100,100
manus_ai specificity,100,100,100,100,100,100,100,100,100
discourse2draft relevance,100,60,100,95,95,95,95,,100
discourse2draft continuity,100,85,90,95,90,90,90,,100
discourse2draft non_repetitiveness,100,100,100,85,85,80,65,,100
discourse2draft specificity,100,95,95,95,95,90,95,,100
